"afdc_id","afdc_station_name","afdc_state","afdc_ev_network","matched","match_status","ocm_poi_id","distance_miles","ocm_operator","comment_count","fault_comment_count","most_recent_comment_date","ocm_status"
"367758","Pilot Travel Center 286","OH","eVgo Network","True","matched","348998","0","eVgo Network","0","0",,"Operational"
"367762","Pilot Travel Center 469","OH","eVgo Network","True","matched","353719","0","eVgo Network","0","0",,"Operational"
"367820","Flying J 694","OH","eVgo Network","True","matched","358801","0","eVgo Network","0","0",,"Operational"
"371375","Pilot Travel Center 360","OH","eVgo Network","True","matched","355793","0","eVgo Network","0","0",,"Operational"
"371377","Pilot Flying J Store 287","OH","eVgo Network","True","matched","355197","0","eVgo Network","0","0",,"Operational"
"371741","LOVE'S 366 - PA #366 DC1","PA","ChargePoint Network","True","matched","351906","0","ChargePoint","0","0",,"Operational"
"371744","LOVE'S 366 - PA #366 DC2","PA","ChargePoint Network","True","matched","351908","0","ChargePoint","0","0",,"Operational"
"371850","Pilot Travel Center 449","OH","eVgo Network","True","matched","350337","0.0116","eVgo Network","0","0",,"Operational"
"371898","Flying J 699","OH","eVgo Network","True","matched","349435","0","eVgo Network","0","0",,"Operational"
"372029","EVolve NY Lewis","NY","Electrify America","True","matched","371315","0","Electrify America","0","0",,"Operational"
"372033","Shoppes on Bluebell - New Philadelphia","OH","FCN","True","matched","306554","0.0077","Francis Energy","0","0",,"Operational"
"372034","Best Western - Zanesville","OH","FCN","True","matched","306555","0.0101","Francis Energy","0","0",,"Operational"
"372118","Pilot Travel Center 9","OH","eVgo Network","True","matched","347545","0","eVgo Network","0","0",,"Operational"
"372119","Pilot Travel Center 309","OH","eVgo Network","True","matched","348424","0","eVgo Network","0","0",,"Operational"
"372496","The Lunch Box - Happy","TX","SWTCH","True","matched","332061","0","SWTCH - Charge Everywhere","0","0",,"Operational"
"372832","LOVE'S 731 - PA #731 DC2","PA","ChargePoint Network","True","matched","355357","0","ChargePoint","0","0",,"Operational"
"372835","LOVE'S 731 - PA #731 DC1","PA","ChargePoint Network","True","matched","355355","0","ChargePoint","0","0",,"Operational"
"372951","Gainesville, TX - Tesla Supercharger","TX","Tesla","True","matched","324525","0.0078","Tesla (including non-tesla)","0","0",,"Operational"
"374263","EVolve NY Horseheads","NY","Electrify America","True","matched","360617","0","Electrify America","0","0",,"Operational"
